datetime,signal,instrument,strike,entry,exit,pnl
2023-01-24 10:45:00+05:30,1,NIFTY25JAN2318150CE,18150.0,72.9,74.0,1.0999999999999943
2023-01-24 11:15:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,63.75,59.35,4.399999999999999
2023-01-24 12:20:00+05:30,1,NIFTY25JAN2318150CE,18150.0,54.6,53.65,-0.9500000000000028
2023-01-24 12:30:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,76.9,77.75,-0.8499999999999943
2023-01-24 12:45:00+05:30,1,NIFTY25JAN2318100CE,18100.0,79.6,79.8,0.20000000000000284
2023-01-24 13:25:00+05:30,-1,NIFTY25JAN2318150CE,18150.0,47.5,48.75,-1.25
2023-01-24 14:05:00+05:30,1,NIFTY25JAN2318100CE,18100.0,61.75,62.3,0.5499999999999972
2023-01-24 15:25:00+05:30,-1,NIFTY25JAN2318100CE,18100.0,55.6,55.0,0.6000000000000014
2023-01-25 10:30:00+05:30,1,NIFTY25JAN2317950CE,17950.0,39.35,41.3,1.9499999999999957
2023-01-25 10:45:00+05:30,-1,NIFTY25JAN2317950CE,17950.0,25.1,27.65,-2.549999999999997
2023-01-25 10:50:00+05:30,1,NIFTY25JAN2317950CE,17950.0,26.7,28.3,1.6000000000000014
2023-01-25 11:25:00+05:30,-1,NIFTY25JAN2317950CE,17950.0,13.15,12.3,0.8499999999999996
2023-01-25 11:45:00+05:30,1,NIFTY25JAN2317900CE,17900.0,29.8,29.35,-0.4499999999999993
2023-01-25 12:25:00+05:30,-1,NIFTY25JAN2317900CE,17900.0,27.6,32.15,-4.549999999999997
2023-01-25 12:30:00+05:30,1,NIFTY25JAN2317900CE,17900.0,33.55,34.15,0.6000000000000014
2023-01-25 13:15:00+05:30,-1,NIFTY25JAN2317900CE,17900.0,34.85,36.25,-1.3999999999999986
2023-01-25 13:35:00+05:30,1,NIFTY25JAN2317900CE,17900.0,42.85,41.1,-1.75
2023-01-25 14:25:00+05:30,-1,NIFTY25JAN2317950CE,17950.0,9.4,11.05,-1.6500000000000004
2023-01-25 15:20:00+05:30,1,NIFTY25JAN2317900CE,17900.0,0.75,0.35,-0.4
2023-01-27 09:20:00+05:30,-1,NIFTY02FEB2317800CE,17800.0,215.1,215.75,-0.6500000000000057
2023-01-27 10:25:00+05:30,1,NIFTY02FEB2317650CE,17650.0,240.0,238.7,-1.3000000000000114
2023-01-27 11:00:00+05:30,-1,NIFTY02FEB2317700CE,17700.0,195.75,195.25,0.5
